feature,r
LDA50_abstract_weight__0_network_state_resting,0.019874286574602752
LDA50_abstract_weight__1_anxiety_trait_personality,-0.033611435330844874
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.0069752558474140604
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.003684045902844196
LDA50_abstract_weight__4_stimulus_time_repetition,-0.0026120151098877453
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.05150574951854565
LDA50_abstract_weight__6_auditory_speech_temporal,0.004016162728841105
LDA50_abstract_weight__7_reward_feedback_striatum,-0.032891740637979366
LDA50_abstract_weight__8_mpfc_social_medial,0.042476440004016645
LDA50_abstract_weight__9_memory_working_wm,0.0510201342419742
LDA50_abstract_weight__10_food_taste_weight,-0.02465170573207987
LDA50_abstract_weight__11_learning_training_practice,-0.0020378320408104282
LDA50_abstract_weight__12_women_men_sex,-0.010936698131499414
LDA50_abstract_weight__13_fear_threat_smokers,-0.021522762084977637
LDA50_abstract_weight__14_disease_ad_pd,-0.02086015011649007
LDA50_abstract_weight__15_task_performance_cognitive,0.07065038513629526
LDA50_abstract_weight__16_response_inhibition_control,0.02600636239771521
LDA50_abstract_weight__17_motor_cortex_hand,0.04814979733521697
LDA50_abstract_weight__18_number_ips_numerical,0.004418624058173342
LDA50_abstract_weight__19_action_actions_observation,0.05192861434980421
LDA50_abstract_weight__20_control_conflict_task,0.011507961366986716
LDA50_abstract_weight__21_matter_volume_structural,-0.10535646740730188
LDA50_abstract_weight__22_method_group_approach,-0.07405349439456664
LDA50_abstract_weight__23_asd_autism_group,0.02534986472165005
LDA50_abstract_weight__24_age_adults_older,0.015190360014393074
LDA50_abstract_weight__25_spatial_body_human,-0.03146535129087503
LDA50_abstract_weight__26_emotional_amygdala_negative,0.005708820773268493
LDA50_abstract_weight__27_disorder_adhd_group,-0.06131817014504117
LDA50_abstract_weight__28_social_empathy_moral,0.01578748142228444
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.04658048215157564
LDA50_abstract_weight__30_decision_making_risk,0.0018899362635924738
LDA50_abstract_weight__31_model_models_prediction,-0.04017156323944764
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.012503679012312701
LDA50_abstract_weight__33_memory_retrieval_encoding,0.07163254549950852
LDA50_abstract_weight__34_frequency_hz_ms,-0.061841962072562866
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.07729145928213552
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.04458923040424238
LDA50_abstract_weight__37_language_reading_word,0.05032877433308173
LDA50_abstract_weight__38_semantic_category_representations,0.01681078549033311
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.029041473673350596
LDA50_abstract_weight__40_face_faces_facial,-0.020336909108445964
LDA50_abstract_weight__41_imagery_mental_events,0.0697367845290918
LDA50_abstract_weight__42_visual_cortex_sensory,0.010774608683567648
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.009844593777272172
LDA50_abstract_weight__44_eye_sleep_gaze,0.0005846122061262274
LDA50_abstract_weight__45_motion_perception_visual,-0.03006662671422234
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.012103969132152427
LDA50_abstract_weight__47_attention_attentional_target,0.03594312448656
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.05609412329202564
LDA50_abstract_weight__49_depression_mdd_state,-0.09117698155704666
