feature,r
LDA50_abstract_weight__0_network_state_resting,-0.0004648789212986304
LDA50_abstract_weight__1_anxiety_trait_personality,-0.03264656465675554
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.0002612106529272222
LDA50_abstract_weight__3_cortex_anterior_cingulate,-0.008030752142085255
LDA50_abstract_weight__4_stimulus_time_repetition,-0.006460412419501878
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.05452810290798597
LDA50_abstract_weight__6_auditory_speech_temporal,0.03685965285199893
LDA50_abstract_weight__7_reward_feedback_striatum,-0.04453179336941932
LDA50_abstract_weight__8_mpfc_social_medial,0.03421258042531417
LDA50_abstract_weight__9_memory_working_wm,0.04756942873352506
LDA50_abstract_weight__10_food_taste_weight,-0.023919759178655613
LDA50_abstract_weight__11_learning_training_practice,-0.003599596043145974
LDA50_abstract_weight__12_women_men_sex,-0.00967368816886548
LDA50_abstract_weight__13_fear_threat_smokers,-0.024697395630934902
LDA50_abstract_weight__14_disease_ad_pd,-0.023592186892213336
LDA50_abstract_weight__15_task_performance_cognitive,0.050893163949324124
LDA50_abstract_weight__16_response_inhibition_control,0.01874511699052286
LDA50_abstract_weight__17_motor_cortex_hand,0.04030246062720745
LDA50_abstract_weight__18_number_ips_numerical,-0.004547781652452896
LDA50_abstract_weight__19_action_actions_observation,0.06733464282885016
LDA50_abstract_weight__20_control_conflict_task,0.0023294946567859226
LDA50_abstract_weight__21_matter_volume_structural,-0.09760134980229185
LDA50_abstract_weight__22_method_group_approach,-0.06679776412492919
LDA50_abstract_weight__23_asd_autism_group,0.02476632825505002
LDA50_abstract_weight__24_age_adults_older,0.008651815443968007
LDA50_abstract_weight__25_spatial_body_human,-0.028812963590153996
LDA50_abstract_weight__26_emotional_amygdala_negative,0.017085264958182186
LDA50_abstract_weight__27_disorder_adhd_group,-0.05959492902837283
LDA50_abstract_weight__28_social_empathy_moral,0.015666743854272174
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.04738893782748868
LDA50_abstract_weight__30_decision_making_risk,-0.009109837163822031
LDA50_abstract_weight__31_model_models_prediction,-0.03863260349740403
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.0226464372163249
LDA50_abstract_weight__33_memory_retrieval_encoding,0.05925652087450348
LDA50_abstract_weight__34_frequency_hz_ms,-0.05802454025757987
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.0749173432444456
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.044134426091550355
LDA50_abstract_weight__37_language_reading_word,0.0534105491469739
LDA50_abstract_weight__38_semantic_category_representations,0.017768909075985325
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.022323316984223483
LDA50_abstract_weight__40_face_faces_facial,-0.0026919930749241972
LDA50_abstract_weight__41_imagery_mental_events,0.06272521472474175
LDA50_abstract_weight__42_visual_cortex_sensory,0.017959145129033374
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.010436889722230945
LDA50_abstract_weight__44_eye_sleep_gaze,-0.001702379744973788
LDA50_abstract_weight__45_motion_perception_visual,-0.017533096672905205
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.005389196963694274
LDA50_abstract_weight__47_attention_attentional_target,0.028844570511460357
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.05566568257702705
LDA50_abstract_weight__49_depression_mdd_state,-0.08773198592625533
